Abel, Clarence, New York Rangers, 1928,  Chicago Blackhawks, 1934, {2}
Abel, Sid, Detroit Red Wings, 1943-50-52, {3}
Beaudro, Roxy, Kenora Thistles, 1907, {1}
Beauchemin, Francois, Anaheim Ducks, 2007, {1}
Belfour, Ed, Dallas Stars, 1999, {1}
Belanger, Jesse, Montreal Canadiens, 1993, {1}
Beliveau, Jean, Montreal Canadiens, 1956-57-58-59-60-65-66-68-69-71, {10}
Bell, Billy, Montreal Canadiens, 1924, {1}
Bellingham, Billy, Montreal AAA, 1902–03, {2}
Bellows, Brian, Montreal Canadiens, 1993, {1}
Benedict, Clint, Ottawa Senators, 1920-21-23,  Montreal Maroons, 1926, {4}
Benoit, Joe, Montreal Canadiens, 1946, {1}
Benson, Robert R., Winnipeg Victorias, 1896, {1}
Bentley, Max, Toronto Maple Leafs, 1948-49-51, {3}
Berenson, Gordon, Montreal Canadiens, 1965, {1}
Bergeron-Cleary, Patrice, Boston Bruins, 2011, {1}
Berlinquette, Louis, Montreal Canadiens, 1916, {1}
Bernier, Jonathan, Los Angeles Kings, 2012, {1}
Beukeboom, Jeff, Edmonton Oilers, 1987-88-90,  New York Rangers, 1994, {4}
Bicek, Jiri, New Jersey Devils, 2003, {1}
Bickell, Bryan, Chicago Blackhawks, 2010–13-15, {3}
Blachford, Cecil, Montreal AAA, 1903,  Montreal Wanderers, 1906-07-08-10, {5}
Black, Steve, Detroit Red Wings, 1950, {1}
Bladon, Tom, Philadelphia Flyers, 1974–75, {2}
Blair, Andy, Toronto Maple Leafs, 1932, {1}
Blake, Hector, Montreal Maroons, 1935,  Montreal Canadiens, 1944–46, {3}
Blake, Rob, Colorado Avalanche, 2001, {1}
Blinco, Russ, Montreal Maroons, 1935, {1}
Bodnar, Gus, Toronto Maple Leafs, 1945–47, {2}
Boesch, Garth, Toronto Maple Leafs, 1947-48-49, {3}
Boisvert, Serge, Montreal Canadiens, 1986, {1}
Boldirev, Ivan, Boston Bruins, 1970, {1}
Bolland, Dave, Chicago Blackhawks, 2010-13, {2}
Bollig, Brandon, Chicago Blackhawks, 2013, {1}
Bolton, Hugh, Toronto Maple Leafs, 1951, {1}
Bomdardir, Brad, New Jersey Devils, 2000, {1}
Bonin, Marcel, Detroit Red Wings, 1955,  Montreal Canadiens, 1958-59-60, {4}
Bonino, Nick, Pittsburgh Penguins, 2016, {1}
Boon, Dickie, Montreal AAA, 1902–03, {2}
Bordeleau, Christian, Montreal Canadiens, 1969, {1}
Bossy, Mike, New York Islanders, 1980-81-82-83, {4}
Bouchard, Pierre, Montreal Canadiens, 1971-73-76-77-78, {5}
Bouchard, Emile, Montreal Canadiens, 1944-46-53-56, {4}
Boucher, Billy, Montreal Canadiens, 1924, {1}
Boucher, Bobby, Montreal Canadiens, 1924, {1}
Boucher, Frank, New York Rangers, 1928–33, {2}
Boucher, George, Ottawa Senators, 1920-21-23-27, {4}
Boucher, Philippe, Pittsburgh Penguins, 2009, {1}
Bourgeault, Leo, New York Rangers, 1928, {1}
Bourne, Bob, New York Islanders, 1980-81-82-83, {4}
Bourque, Phil, Pittsburgh Penguins, 1991–92, {2}
Bourque, Raymond, Colorado Avalanche, 2001, {1}
Boutilier, Paul, New York Islanders, 1983, {1}
Bower, Johnny, Toronto Maple Leafs, 1962-63-64-67, {4}
Bowie, Russell, Montreal Victorias, 1899, {1}
Bowman, Ralph, Detroit Red Wings, 1936–37, {2}
Boychuk, Johnny, Boston Bruins, 2011, {1}
Boyd, Billy, New York Rangers, 1928, {1}
Boyle, Dan, Tampa Bay Lightning, 2004, {1}
Boynton, Nick, Chicago Blackhawks, 2010, {1}
Brannen, Jack, Montreal Shamrocks, 1899–1900, {2}
Brennan, Doug, New York Rangers, 1933, {1}
Brennon, John, Montreal Shamrocks, 1900, {1}
Brenneman, John, Toronto Maple Leafs, 1967, {1}
Brewer, Carl, Toronto Maple Leafs, 1962-63-64, {3}
Brimsek, Frank, Boston Bruins, 1939–41, {2}
Brind’Amour, Rod, Carolina Hurricanes, 2006, {1}
Brisebois, Patrice, Montreal Canadiens, 1993, {1}
Broadbent, Harry, Ottawa Senators, 1920-21-23,  Montreal Maroons, 1926, {4}
Broda, Walter, Toronto Maple Leafs, 1942-47-48-49-51, {5}
Broden, Connie, Montreal Canadiens, 1957–58, {2}
Brodeur, Martin, New Jersey Devils, 1995-2000-03, {3}
Brookbank, Sheldon, Chicago Blackhawks, 2013, {1}
Brooks, Arthur, Toronto Maple Leafs, 1918, {1}
Brophy, Bernie, Montreal Maroons, 1926, {1}
Broten, Neal, New Jersey Devils, 1995, {1}
Brouwer, Troy, Chicago Blackhawks, 2010, {1}
Brown, Adam, Detroit Red Wings, 1943, {1}
Brown, Art, Winnipeg Victorias, 1901–02, {2}
Brown, Connie, Detroit Red Wings, 1943, {1}
Brown, Dave, Edmonton Oilers, 1990, {1}
Brown, Doug, Detroit Red Wings, 1997–98, {2}
Brown, Dustin, Los Angeles Kings, 2012-14, {2}
Bruce, Gordie, Boston Bruins, 1941, {1}
Bruce, Morley, Ottawa Senators, 1920–21, {2}
Brule, Steve, New Jersey Devils, 2000, {1}
Brunet, Benoit, Montreal Canadiens, 1993, {1}
Bruneteau, Moderre, Detroit Red Wings, 1936-37-43, {3}
Brylin, Sergei, New Jersey Devils, 1995-2000-03, {3}
Bryzgalov, Ilya, Anaheim Ducks, 2007, {1}
Buchberger, Kelly, Edmonton Oilers, 1987–90, {2}
Bucyk, John, Boston Bruins, 1970–72, {2}
Bucyk, Randy, Montreal Canadiens, 1986, {1}
Burish, Adam, Chicago Blackhawks, 2010, {1}
Burke, Marty, Montreal Canadiens, 1930–31, {2}
Byfuglien, Dustin, Chicago Blackhawks, 2010, {1}
Cadham, Fred, Winnipeg Victorias, 1896-1902–1903, {3}
Cain, Herb, Montreal Maroons, 1935,  Boston Bruins, 1941, {2}
Callander, William, Pittsburgh Penguins, 1992, {1}
Callighen, Frank, New York Rangers, 1928, {1}
Cameron, Allan, Montreal AAA, 1893–94, {2}
Cameron, Billy, Montreal Canadiens, 1924, {1}
Cameron, Harry, Toronto Blueshirts, 1914,  Toronto Arenas, 1918,  Toronto St. Pats, 1922, {3}
Campbell, Brian, Chicago Blackhawks, 2010, {1}
Campbell, Gregory, Boston Bruins, 2011, {1}
Campbell, Colin J., Winnipeg Victorias, 1896, {1}
Carbonneau, Guy, Montreal Canadiens, 1986–93,  Dallas Stars, 1999, {3}
Carcillo, Daniel, Chicago Blackhawks, 2013-15, {2}
Carey, George, Quebec Bulldogs, 1912, {1}
Carleton, Wayne, Boston Bruins, 1970, {1}
Carpenter, Bob Jr., New Jersey Devils, 1995, {1}
Carpenter, Everard, Seattle Metropolitans, 1917, {1}
Carr, Lorne, Toronto Maple Leafs, 1942–45, {2}
Carroll, Billy, New York Islanders, 1981-82-83,  Edmonton Oilers, 1985, {4}
Carson, Frank, Montreal Maroons, 1926, {1}
Carson, Gerry, Montreal Canadiens, 1930, {1}
Carson, Bill, Boston Bruins, 1929, {1}
Carter, Jeff, Los Angeles Kings, 2012-14, {2}
Carter, Ryan, Anaheim Ducks, 2007, {1}
Carveth, Joe, Detroit Red Wings, 1943–50, {2}
Cashman, Wayne, Boston Bruins, 1970–72, {2}
Caufield, Jay, Pittsburgh Penguins, 1991–92, {2}
Chabot, Lorne, New York Rangers, 1928,  Toronto Maple Leafs, 1932, {2}
Chamberlain, Erwin, Montreal Canadiens, 1944–46, {2}
Chambers, Shawn, New Jersey Devils, 1995,  Dallas Stars, 1999, {2}
Chara, Zdeno, Boston Bruins, 2011, {1}
Chartraw, Rick, Montreal Canadiens, 1976-77-78-79,  Edmonton Oilers, 1984, {5}
Cheevers, Gerry, Boston Bruins, 1970–72, {2}
Chelios, Chris, Montreal Canadiens, 1986,  Detroit Red Wings, 2002–08, {3}
Chipcase, William, Montreal Wanderers, 1907–10, {2}
Chorske, Tom, New Jersey Devils, 1995, {1}
Chychrun, Jeff, Pittsburgh Penguins, 1992, {1}
Cibak, Martin, Tampa Bay Lightning, 2004, {1}
Cleary, Daniel, Detroit Red Wings, 2008, {1}
Clancy, Frank, Ottawa Senators, 1923–27,  Toronto Maple Leafs, 1932, {3}
Clapper, Aubrey, Boston Bruins, 1929-39-41, {3}
Clarke, Bob, Philadelphia Flyers, 1974–75, {2}
Cleghorn, Ogilivie, Montreal Canadiens, 1924, {1}
Cleghorn, Sprague, Ottawa Senators, 1920–21,  Montreal Canadiens, 1924, {3}
Clement, Bill, Philadelphia Flyers, 1974–75, {2}
Clifford, Kyle, Los Angeles Kings, 2012-14, {2}
Clymer, Ben, Tampa Bay Lightning, 2004, {1}
Coffey, Paul, Edmonton Oilers, 1984-85-87,  Pittsburgh Penguins, 1991, {4}
Coflin, Hugh, Detroit Red Wings, 1952, {1}
Cole, Danton, New Jersey Devils, 1995, {1}
Cole, Erik, Carolina Hurricanes, 2006, {1}
Cole, Ian, Pittsburgh Penguins, 2016, {1}
Collins, Herb, Montreal AAA, 1894, {1}
Colville, Mac, New York Rangers, 1940, {1}
Colville, Neil, New York Rangers, 1940, {1}
Commodore, Mike, Carolina Hurricanes, 2006, {1}
Conacher, Brian, Toronto Maple Leafs, 1967, {1}
Conacher, Charlie, Toronto Maple Leafs, 1932, {1}
Conacher, Lionel, Chicago Blackhawks, 1934,  Montreal Maroons, 1935, {2}
Conacher, Pat, Edmonton Oilers, 1984, {1}
Conacher, Roy, Boston Bruins, 1939–41, {2}
Connell, Alex, Ottawa Senators, 1927,  Montreal Maroons, 1935, {2}
Connelly, Bert, Chicago Blackhawks, 1938, {1}
Connor, Cam, Montreal Canadiens, 1979, {1}
Cook, Fred, New York Rangers, 1928–33, {2}
Cook, Lloyd, Vancouver Millionaires, 1915, {1}
Cook, Tom, Chicago Blackhawks, 1934, {1}
Cook, Bill, New York Rangers, 1928–33, {2}
Cooke, Matt, Pittsburgh Penguins, 2009, {1}
Corbeau, Bert, Montreal Canadiens, 1916, {1}
Corbeau, Con, Toronto Blueshirts, 1914, {1}
Corbet, Rene, Colorado Avalanche, 1996, {1}
Costello, Les, Toronto Maple Leafs, 1948, {1}
Cotton, Harold, Toronto Maple Leafs, 1932, {1}
Coughlin, Jack, Toronto Arenas, 1918, {1}
Coulter, Art, Chicago Blackhawks, 1934,  New York Rangers, 1940, {2}
Cournoyer, Yvan, Montreal Canadiens, 1965-66-68-69-71-73-76-77-78-79, {10}
Courtnall, Geoff, Edmonton Oilers, 1988, {1}
Coutu, Wilfred, Montreal Canadiens, 1924, {1}
Couture, Gerry, Detroit Red Wings, 1950, {1}
Couture, Rosie, Chicago Blackhawks, 1934, {1}
Cowick, Bruce, Philadelphia Flyers, 1974, {1}
Cowley, Bill, Boston Bruins, 1939–41, {2}
Crawford, Corey, Chicago Blackhawks, 2013–15, {2}
Crawford, Jack, Boston Bruins, 1939–41, {2}
Crawford, Rusty, Quebec Bulldogs, 1913,  Toronto Arenas, 1918, {2}
Creighton, Billy, Quebec Bulldogs, 1913, {1}
Crisp, Terry, Philadelphia Flyers, 1974–75, {2}
Crosby, Sidney, Pittsburgh Penguins, 2009–16, {2}
Cullen, Matt, Carolina Hurricanes, 2006,  Pittsburgh Penguins, 2016, {2}
Cullimore, Jassen, Tampa Bay Lightning, 2004, {1}
Cumiskey, Kyle, Chicago Blackhawks, 2015, {1}
Currie, Alex, Ottawa Senators, 1911, {1}
Curry, Floyd, Montreal Canadiens, 1953-56-57-58, {4}
Cushenan, Ian, Montreal Canadiens, 1959, {1}
Dahlin, Kjell, Montreal Canadiens, 1986, {1}
Dahlstrom, Carl, Chicago Blackhawks, 1938, {1}
Daigneault, Jean-Jacques, Montreal Canadiens, 1993, {1}
Daley, Trevor, Pittsburgh Penguins, 2016, {1}
Damphousse, Vincent, Montreal Canadiens, 1993, {1}
Dandenault, Mathieu, Detroit Red Wings, 1997-98-2002, {3}
Daneyko, Ken, New Jersey Devils, 1995-2000-03, {3}
Daniels, Jeff, Pittsburgh Penguins, 1992, {1}
Darling, Scott, Chicago Blackhawks, 2015, {1}
Darragh, Hal, Toronto Maple Leafs, 1932, {1}
Darragh, Jack, Ottawa Senators, 1911-20-21-23, {4}
Datsyuk, Pavel, Detroit Red Wings, 2002–08, {2}
Davidson, Allan, Toronto Blueshirts, 1914, {1}
Davidson, Cam, Montreal Victorias, 1896-97-98-99, {4}
Davidson, Bob, Toronto Maple Leafs, 1942–45, {2}
Davidson, Shirley, Montreal Victorias, 1895-96-97, {3}
Davis, Lorne, Montreal Canadiens, 1953, {1}
Dawes, Bob, Toronto Maple Leafs, 1949, {1}
Day, Clarence, Toronto Maple Leafs, 1932, {1}
Deadmarsh, Adam, Colorado Avalanche, 1996, {1}
Dean, Kevin, New Jersey Devils, 1995, {1}
DeBlois, Lucien, Montreal Canadiens, 1986, {1}
Denneny, Corbett, Toronto Arenas, 1918,  Toronto St. Pats, 1922, {2}
Denneny, Cyril, Ottawa Senators, 1920-21-23-27,  Boston Bruins, 1929, {5}
DeJordy, Denis, Chicago Blackhawks, 1961, {1}
Delvecchio, Alex, Detroit Red Wings, 1952-54-55, {3}
Desjardins, Andrew, Chicago Blackhawks, 2015, {1}
Desjardins, Eric, Montreal Canadiens, 1993, {1}
Devereaux, Boyd, Detroit Red Wings, 2002, {1}
De Vries, Greg, Colorado Avalanche, 2001, {1}
Dewsbury, Al, Detroit Red Wings, 1950, {1}
Dey, Edgar Jr., Ottawa Senators, 1909, {1}
Dickens, Ernie, Toronto Maple Leafs, 1942, {1}
Dillon, Cecil, New York Rangers, 1933, {1}
Dineen, Bill, Detroit Red Wings, 1954–55, {2}
Dingman, Chris, Colorado Avalanche, 2001,  Tampa Bay Lightning, 2004, {2}
Dinsmore, Chuck, Montreal Maroons, 1926, {1}
Dion, Unknown, Ottawa Senators, 1906, {1}
Dionne, Gilbert, Montreal Canadiens, 1993, {1}
Dipenta, Joe, Anaheim Ducks, 2007, {1}
DiPietro, Paul, Montreal Canadiens, 1993, {1}
Doak, Gary, Boston Bruins, 1970, {1}
Dobby, John, Montreal Shamrocks, 1899, {1}
Dornhoefer, Gary, Philadelphia Flyers, 1974–75, {2}
Doughty, Drew, Los Angeles Kings, 2012-14, {2}
Douglas, Kent, Toronto Maple Leafs, 1963-64-67, {3}
Douglas, Les, Detroit Red Wings, 1943, {1}
Dowd, Jim, New Jersey Devils, 1995, {1}
Downey, Aaron, Detroit Red Wings, 2008, {1}
Drake, Dallas, Detroit Red Wings, 2008, {1}
Draper, Kris, Detroit Red Wings, 1997-98-2002-08, {4}
Drewiske, Davis, Los Angeles Kings, 2012, {1}
Drinkwater, Graham, Montreal Victorias, 1895-96-97-98-99, {5}
Drillon, Gord, Toronto Maple Leafs, 1942, {1}
Driver, Bruce, New Jersey Devils, 1995, {1}
Drury, Chris, Colorado Avalanche, 2001, {1}
Dryden, Ken, Montreal Canadiens, 1971-73-76-77-78-79, {6}
Dube, Gilles, Detroit Red Wings, 1954, {1}
Duchesne, Steve, Detroit Red Wings, 2002, {1}
Duff, Dick, Toronto Maple Leafs, 1962–63,  Montreal Canadiens, 1965-66-68-69, {6}
Dufresne, Donald, Montreal Canadiens, 1993, {1}
Dumart, Woody, Boston Bruins, 1939–41, {2}
Dumoulin, Brian, Pittsburgh Penguins, 2016, {1}
Dupont, Andre, Philadelphia Flyers, 1974–75, {2}
Dupuis, Pascal, Pittsburgh Penguins, 2009–16, {2}
Durnan, Bill, Montreal Canadiens, 1944–46, {2}
Dye, Cecil, Toronto St. Pats, 1922, {1}
Dykstra, Steve, Edmonton Oilers, 1988, {1}
Eager, Ben, Chicago Blackhawks, 2010, {1}
Eaton, Mark, Pittsburgh Penguins, 2009, {1}
Ebbs, Jack, Ottawa Senators, 1906, {1}
Eddolls, Frank, Montreal Canadiens, 1946, {1}
Edwards, Allan, Chicago Blackhawks, 1961, {1}
Ehman, Gerry, Toronto Maple Leafs, 1964, {1}
Elias, Patrik, New Jersey Devils, 2000–03, {2}
Elliot, Ronald, Montreal Victorias, 1895,  Montreal AAA, 1902, {2}
Ellis, Ron, Toronto Maple Leafs, 1967, {1}
Elmer, Wally, Victoria Cougars, 1925, {1}
Emery, Ray, Chicago Blackhawks, 2013, {1}
Engblom, Brian, Montreal Canadiens, 1977-78-79, {3}
Erickson, Aut, Toronto Maple Leafs, 1967, {1}
Eriksson, Anders, Detroit Red Wings, 1998, {1}
Errey, Bob, Pittsburgh Penguins, 1991–92, {2}
Eskrine, T., Montreal Wanderers, 1907, {1}
Esposito, Tony, Montreal Canadiens, 1969, {1}
Esposito, Phil, Boston Bruins, 1970–72, {2}
Evans, Jack, Chicago Blackhawks, 1961, {1}
Evans, Stewart, Montreal Maroons, 1935, {1}
Ewen, Todd, Montreal Canadiens, 1993, {1}
Ewing, Jack, Montreal Victorias, 1897-98-99, {3}
Ezinicki, Bill, Toronto Maple Leafs, 1947-48-49, {3}
Farrell, Art, Montreal Shamrocks, 1899–1900, {2}
Fedorov, Sergei, Detroit Red Wings, 1997-98-2002, {3}
Fedotenko, Ruslan, Tampa Bay Lightning, 2004,  Pittsburgh Penguins, 2009, {2}
Fehr, Eric, Pittsburgh Penguins, 2016, {1}
Ferguson, John Sr., Montreal Canadiens, 1965-66-68-69-71, {5}
Fenwick, Art, Montreal Victorias, 1895, {1}
Ference, Andrew, Boston Bruins, 2011, {1}
Fetisov, Viacheslav, Detroit Red Wings, 1997–98, {2}
Fillion, Bob, Montreal Canadiens, 1944–46, {2}
Filppula, Valtteri, Detroit Red Wings, 2008, {1}
Finnie, Dave, Ottawa Senators, 1905, {1}
Finnigan, Frank, Ottawa Senators, 1927,  Toronto Maple Leafs, 1932, {2}
Fiset, Stephane, Colorado Avalanche, 1996, {1}
Fischer, Jiri, Detroit Red Wings, 2002, {1}
Fisher, Joe, Detroit Red Wings, 1943, {1}
Flaman, Fern, Toronto Maple Leafs, 1951, {1}
Fleming, Reg, Chicago Blackhawks, 1961, {1}
Flett, Bill, Philadelphia Flyers, 1974, {1}
Flett, Magnus, Winnipeg Victorias, 1901–02, {1}
Flett, Rod, Winnipeg Victorias, 1896-1901-02, {3}
Fleury, Marc-Andre, Pittsburgh Penguins, 2009–16, {2}
Fleury, Theoren, Calgary Flames, 1989, {1}
Fogolin, Lido, Detroit Red Wings, 1950, {1}
Fogolin, Lee Jr., Edmonton Oilers, 1984–85, {2}
Foote, Adam, Colorado Avalanche, 1996–2001, {2}
Forsberg, Peter, Colorado Avalanche, 1996–2001, {2}
Fournier, Jack, Montreal Canadiens, 1916, {1}
Foyston, Frank, Toronto Blueshirts, 1914,  Seattle Metropolitans, 1917,  Victoria Cougars, 1925, {3}
Francis, Ron, Pittsburgh Penguins, 1991–92, {2}
Franks, Jimmy, Detroit Red Wings, 1937, {1}
Franzen, Johan, Detroit Red Wings, 2008, {1}
Fraser, Arthur, Ottawa Senators, 1903, {1}
Fraser, Colin, Chicago Blackhawks, 2010,  Los Angeles Kings, 2012, {2}
Fraser, Gord, Victoria Cougars, 1925, {1}
Fredrickson, Frank, Victoria Cougars, 1925,  Boston Bruins, 1929, {2}
Friesen, Jeff, New Jersey Devils, 2003, {1}
Frolik, Michael, Chicago Blackhawks, 2013, {1}
Frost, Harry, Boston Bruins, 1939, {1}
Fuhr, Grant, Edmonton Oilers, 1984-85-87-88-90, {5}
Gaborik, Marian, Los Angeles Kings, 2014, {1}
Gagne, Simon, Los Angeles Kings, 2012, {1}
Gagnon, Johnny, Montreal Canadiens, 1931, {1}
Gainey, Bob, Montreal Canadiens, 1976-77-78-79-86, {5}
Gainor, Norman, Boston Bruins, 1929,  Montreal Maroons, 1935, {2}
Galbraith, Percy, Boston Bruins, 1929, {1}
Gallagher, John, Detroit Red Wings, 1937, {1}
Gamble, Dick, Montreal Canadiens, 1953, {1}
Gardner, Cal, Toronto Maple Leafs, 1949-51, {2}
Gardiner, Chuck, Chicago Blackhawks, 1934, {1}
Gardner, Jimmy, Montreal AAA, 1902-03,  Montreal Wanderers, 1908-10, {4}
Garon, Mathieu, Pittsburgh Penguins, 2009, {1}
Garruthers, George, Winnipeg Victorias, 1901, {1}
Gatherum, Dave, Detroit Red Wings, 1954, {1}
Gaul, Horace, Ottawa Senators, 1905-11, {2}
Gauthier, Jean, Montreal Canadiens, 1965, {1}
Gee, George, Detroit Red Wings, 1950, {1}
Gelinas, Martin, Edmonton Oilers, 1990, {1}
Geoffrion, Bernie, Montreal Canadiens, 1953-56-57-58-59-60, {6}
Gerber, Martin, Carolina Hurricanes, 2006, {1}
Gerard, Eddie, Ottawa Senators, 1920-21-23,  Toronto St. Pats, 1922, {4}
Getliffe, Ray, Boston Bruins, 1939,  Montreal Canadiens, 1944, {2}
Getzlaf, Ryan, Anaheim Ducks, 2007, {1}
Giguere, Jean-Sebastien, Anaheim Ducks, 2007, {1}
Gilbert, Greg, New York Islanders, 1982-83,  New York Rangers, 1994, {3}
Gilchrist, Brent, Detroit Red Wings, 1998, {1}
Gill, Hal, Pittsburgh Penguins, 2009, {1}
Gilhen, Randy, Pittsburgh Penguins, 1991, {1}
Gillilan, Dave, Montreal Victorias, 1896-97, {2}
Gillies, Clark, New York Islanders, 1980-81-82-83, {1}
Gilmour, Dave, Ottawa Senators, 1903, {1}
Gilmour, Doug, Calgary Flames, 1989, {1}
Gilmour, Hamilton, Ottawa Senators, 1903-04-05-06-09, {5}
Gilmour, Larry, Montreal Wanderers, 1908, {1}
Gilmour, Suddy, Ottawa Senators, 1903-04, {2}
Gingras, Gaston, Montreal Canadiens, 1986, {1}
Gingras, Tony, Winnipeg Victorias, 1901–02, {2}
Gionta, Brian, New Jersey Devils, 2003, {1}
Giroux, Eddie, Kenora Thistles, 1907, {1}
Glass, Frank, Montreal Wanderers, 1906-07-08-10, {4}
Glover, Fred, Detroit Red Wings, 1952, {1}
Goldham, Bob, Toronto Maple Leafs, 1942–47,  Detroit Red Wings, 1952-54-55, {5}
Goldsworthy, Leroy, Chicago Blackhawks, 1934, {1}
Goldup, Hank, Toronto Maple Leafs, 1942, {1}
Goligoski, Alex, Pittsburgh Penguins, 2009, {1}
Gomez, Scott, New Jersey Devils, 2000–03, {2}
Gonchar, Sergei, Pittsburgh Penguins, 2009, {1}
Goodenough, Larry, Philadelphia Flyers, 1975, {1}
Goodman, Paul, Chicago Blackhawks, 1938, {1}
Goodfellow, Ebbie, Detroit Red Wings, 1936-37-43, {3}
Goring, Butch, New York Islanders, 1980-81-82-83, {4}
Gorman, Ed, Ottawa Senators, 1927, {1}
Gottselig, Johnny, Chicago Blackhawks, 1934–38, {2}
Goyette, Phil, Montreal Canadiens, 1957-58-59-60, {4}
Gracie, Bob, Toronto Maple Leafs, 1932,  Montreal Maroons, 1935, {2}
Grahame, John, Tampa Bay Lightning, 2004, {1}
Graham, Leth, Ottawa Senators, 1921, {1}
Grannery, Jack, Quebec Bulldogs, 1912, {1}
Grant, Danny, Montreal Canadiens, 1968, {1}
Grant, Mike, Montreal Victorias, 1895-96-97-98-99, {5}
Graves, Adam, Edmonton Oilers, 1990,  New York Rangers, 1994, {2}
Gray, Alex, New York Rangers, 1928, {1}
Gregg, Randy, Edmonton Oilers, 1984-85-87-88-90, {5}
Green, Red, Boston Bruins, 1929, {1}
Green, Rick, Montreal Canadiens, 1986, {1}
Green, Edward, Boston Bruins, 1970–72, {2}
Greene, Matt, Los Angeles Kings, 2012-14, {2}
Grenier, Lucien, Montreal Canadiens, 1969, {1}
Gretzky, Wayne, Edmonton Oilers, 1984-85-87-88, {4}
Griffis, Silas, Kenora Thistles, 1907,  Vancouver Millionaires, 1915, {2}
Grosso, Don, Detroit Red Wings, 1943, {1}
Guerin, Bill, New Jersey Devils, 1995,  Pittsburgh Penguins, 2009, {2}
Gusarov, Alexei, Colorado Avalanche, 1996, {1}
Hagelin, Carl, Pittsburgh Penguins, 2016, {1}
Hague, Billy, Ottawa Senators, 1906, {1}
Haidy, Gord, Detroit Red Wings, 1950, {1}
Hainsworth, George, Montreal Canadiens, 1930–31, {2}
Halderson, Harold, Victoria Cougars, 1925, {1}
Hall, Glenn, Detroit Red Wings, 1952,  Chicago Blackhawks, 1961, {2}
Hall, Joe, Kenora Thistles, 1907,  Quebec Bulldogs, 1912–13, {3}
Haller, Kevin, Montreal Canadiens, 1993, {1}
Halliday, Milton, Ottawa Senators, 1927, {1}
Hallin, Mats, New York Islanders, 1983, {1}
Hamill, Robert, Boston Bruins, 1939, {1}
Hamilton, Reg, Toronto Maple Leafs, 1942-45, {2}
Handzuš, Michal, Chicago Blackhawks, 2013, {1}
Hanna, Dave, Edmonton Oilers, 1988,  Colorado Avalanche, 1996, {2}
Harmon, Glen, Montreal Canadiens, 1944-46, {2}
Harper, Terry, Montreal Canadiens, 1965-66-68-69-71, {5}
